Nome,Tipo Evento,Data,Horário Abertura,Classificação,Local,Cidade,URL Dados
Roberto Carlos | Florianópolis - SC | 27Jul24,Shows,27/07/2024,19:00,,Arena Opus,São José,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Imersão Estratégias de Encantamento,Cursos,31/07/2024,08:30,Livre,LUSCH Garden - Espaço para Eventos,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Show RENATO ALBANI em FLORIPA // 02.08.24 Sexta,Teatro,02/08/2024,19:30,16 anos,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
O Veneno do Teatro em Florianópolis/SC,Teatro,03/08/2024,19:30,14 anos,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
DESAFIO DAS ARANHAS | 4ª EDIÇÃO - 2024,Esportivo,04/08/2024,08:00,,Praia de Mocambique,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
O Veneno do Teatro em Florianópolis/SC,Teatro,04/08/2024,17:00,14 anos,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Startup Summit 2024,Congresso,14/08/2024 a 16/08/2024,,18 anos,Centrosul,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
13ª Feijoada da OAB/SC,Shows,17/08/2024,11:00,18 anos,Sede Balneária da OAB,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
SUPERTRAMP Experience,Shows,17/08/2024,20:00,Livre,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
ESG Summit Brazil | Florianópolis 2024,,21/08/2024,09:00,18 anos,Fuso Concept Hotel,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Show MOACYR FRANCO & Banda - Cantos e Contos!!!,Teatro,01/09/2024,18:00,Livre,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Winter Play 2024 | Pacote 4 festas (Posh + Safari + Music Park + Terraza),Baladas,06/09/2024 a 07/09/2024,,18 anos,Music Park - Jurerê Internacional,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Winter Play 2024 | Posh Club - 06.09,Baladas,06/09/2024,23:59,18 anos,Posh Club - Jurerê Internacional,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Winter Play 2024 |  Corona apresenta Safari Sunset - 07.09,Baladas,07/09/2024,15:00,,Safari Beach,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Winter Play 2024 |  Belvedere Party - 07.09,Baladas,07/09/2024,23:00,18 anos,Music Park - Jurerê Internacional,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
7MZ - 7 Minutoz O Show | ESPECIAL DE 10 ANOS,Shows,14/09/2024,17:00,,Stage Music Park,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Stand Up PAULINHO SERRA em SÓ DE LEVE!,Stand Up,27/09/2024,19:45,14 anos,Cinemark Floripa Shopping,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
iGaming & Gamers International Expo 2024 (IGI 2024),,02/10/2024 a 04/10/2024,,18 anos,Centro Sul - Centro de Convenções de Florianópolis,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Oingo Boingo Former Members | Florianópolis,Shows,09/11/2024,21:00,16 anos,Stage Music Park,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Estacionamento Antecipado | Oingo Boingo Former Members | Florianópolis,Shows,09/11/2024,21:00,,Stage Music Park,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
"Folianópolis 2024 | Dias 14, 15 e 16 de Novembro",Shows,14/11/2024 a 16/11/2024,,,Passarela Nego Quirido,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Safari Beach Jurerê - Réveillon 2025,Baladas,31/12/2024,22:00,18 anos,Safari Beach Jurerê,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Pré Carnaval - Bloco EVA,,22/02/2024,14:00,,Beiramar Estreito,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
GopherCon Brasil 2025,Cursos,05/05/2024 a 06/05/2024,,,Centro Sul - Centro de Convenções de Florianópolis,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Ritos Despertar Com Dr. Victor Sorrentino  (EVENTO ADIADO - SEM NOVA DATA DEFINIDA),Congresso,,,12 anos,JUSC - Jurerê Sport Center,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
"Tum Festival 2023 apresenta: Daniela, Margareth,  Marina Sena e Maria Gadú (Nova data em breve)",Shows,,,,Arena Império das Águias - Campeche ,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
 Pagode do Sete - Ayan Natan,Baladas, 29/05/2024 à 30/06/2024, 22:00, 18 anos,7Barra7 Music Bar , Florianópolis,https://www.pensanoevento.com.br/baladas/62539/pagode-do-sete-ayan-natan
 Quinta Deu Samba,Baladas, 30/05/2024 à 01/07/2024, 22:00, 18 anos,7Barra7 Music Bar , Florianópolis,https://www.pensanoevento.com.br/baladas/62220/quinta-deu-samba
 Santa Sexta - Ayan Natan,Baladas, 31/05/2024 à 02/07/2024, 22:00, 18 anos,7Barra7 Music Bar , Florianópolis,https://www.pensanoevento.com.br/baladas/62221/santa-sexta-ayan-natan
 Quinta Deu Samba,Baladas, 06/06/2024 à 08/07/2024, 22:00, 18 anos,7Barra7 Music Bar , Florianópolis,https://www.pensanoevento.com.br/baladas/62226/quinta-deu-samba
 Santa Sexta - Grupo Sos,Baladas, 07/06/2024 à 09/07/2024, 22:00, 18 anos,7Barra7 Music Bar , Florianópolis,https://www.pensanoevento.com.br/baladas/62222/santa-sexta-grupo-sos
 Quinta Deu Samba,Baladas, 13/06/2024 à 15/07/2024, 22:00, 18 anos,7Barra7 Music Bar , Florianópolis,https://www.pensanoevento.com.br/baladas/62227/quinta-deu-samba
 Santa Sexta - Lype,Baladas, 14/06/2024 à 16/07/2024, 22:00, 18 anos,7Barra7 Music Bar , Florianópolis,https://www.pensanoevento.com.br/baladas/62223/santa-sexta-lype
 10° Festa da Tainha,Shows, 15 e 16 de Junho,, Livre,Vereda Tropical  ," Barra da Lagoa, Florianópolis ",https://www.pensanoevento.com.br/shows/61776/100-festa-da-tainha
 Deixa Em Off - Ayan Natan,Baladas, 15/06/2024 à 17/07/2024, 22:00, 18 anos,7Barra7 Music Bar , Florianópolis,https://www.pensanoevento.com.br/baladas/62230/deixa-em-off-ayan-natan
 Domingo Tem Samba,Eventos, 16/06/2024, 11:30, Livre,Boteco Zé Mané , Florianópolis,https://www.pensanoevento.com.br/eventos/62987/domingo-tem-samba
